No.,Time,Duration,ScreenX,ScreenY,DurationString,DurationOptions
461,165155,140,1146,757,140,
462,165354,279,1116,742,279,
463,165653,139,1135,745,139,
464,165813,419,1172,755,419,
465,166271,359,1140,756,359,
466,166770,239,404,584,239,
467,167408,140,946,463,140,
468,167667,319,1025,581,319,
469,168026,219,1109,728,219,
470,168305,180,925,503,180,
471,168504,299,918,466,299,
472,168923,558,939,457,558,
473,169721,159,1054,734,159,
474,169940,100,1013,678,100,
475,170159,120,1012,676,120,
476,170299,140,1039,584,140,
477,170498,179,371,586,179,
478,170937,259,294,881,259,
479,171296,299,396,884,299,
480,171655,120,474,889,120,
481,171834,160,464,889,160,
482,172013,100,527,881,100,
483,172293,139,229,954,139,
484,172452,219,230,949,219,
485,173010,239,1043,876,239,
486,173329,259,321,875,259,
487,173608,479,282,869,479,
488,174206,100,345,876,100,
489,174326,359,395,878,359,
490,174705,279,467,878,279,
491,175203,180,259,498,180,
492,175403,239,238,477,239,
493,175921,259,919,469,259,
494,176519,140,357,580,140,
495,176679,219,393,569,219,
496,176918,219,431,643,219,
497,177217,140,433,476,140,
498,177416,120,977,540,120,
499,177616,299,1044,571,299,
500,177935,319,1095,565,319,
501,178294,259,1193,553,259,
502,178573,219,1172,562,219,
503,178812,219,1078,660,219,
504,179071,419,1069,682,419,
505,179510,120,1071,667,120,
506,179669,279,1005,640,279,
507,180088,100,362,275,100,
508,180208,140,311,211,140,
509,180367,339,503,214,339,
510,180746,479,610,223,479,
511,181264,1037,656,235,1037,
512,182341,558,551,237,558,
513,182919,179,663,233,179,
514,183118,1316,632,228,1316,
515,184494,140,373,697,140,
516,184734,159,468,686,159,
517,184953,140,503,688,140,
518,185391,199,460,784,199,
519,185651,140,361,665,140,
520,185810,319,338,652,319,
521,186249,179,434,663,179,
522,186448,180,388,574,180,
523,186647,120,416,502,120,
524,186787,120,417,500,120,
525,186927,339,452,486,339,
526,187285,180,443,485,180,
527,187744,139,465,682,139,
528,188542,120,510,691,120,
529,188721,538,1030,610,538,
530,189339,120,1032,585,120,
531,189479,120,1039,629,120,
532,189618,538,1066,651,538,
533,190276,239,919,486,239,
534,190595,179,922,492,179,
535,190814,259,1073,560,259,
536,191094,199,1106,558,199,
537,191472,100,1175,547,100,
538,191592,359,1228,559,359,
539,191971,199,1155,558,199,
540,192270,199,435,649,199,
541,192569,179,1109,570,179,
542,192768,419,1046,664,419,
543,193267,179,1068,661,179,
544,193506,159,1208,569,159,
545,193685,279,1164,554,279,
546,193984,518,1138,547,518,
547,194563,179,1235,553,179,
548,195021,339,1062,671,339,
549,195480,618,1088,547,618,
550,196118,100,927,712,100,
551,196237,997,852,753,997,
552,197314,179,888,803,179,
553,197553,140,924,749,140,
554,197713,180,923,779,180,
555,197932,179,926,782,179,
556,198131,359,919,817,359,
557,198610,1495,909,817,1495,
558,200125,259,1021,755,259,
559,200404,439,1090,687,439,
560,200923,180,901,791,180,
561,201122,159,842,765,159,
562,201302,179,842,752,179,
563,201660,179,891,737,179,
564,201860,439,812,746,439,
565,202358,219,385,592,219,
566,202597,239,497,611,239,
567,202877,160,462,777,160,
568,203056,120,437,798,120,
569,203375,160,465,789,160,
570,203574,199,823,758,199,
571,203794,100,821,729,100,
572,204053,140,816,486,140,
573,204212,180,619,269,180,
574,204412,120,505,211,120,
575,204671,140,497,201,140,
576,204830,219,648,212,219,
577,205070,439,611,213,439,
578,205548,339,485,104,339,
579,205907,518,595,220,518,
580,206445,359,485,205,359,
581,206844,199,616,242,199,
582,207063,140,558,213,140,
583,207263,179,490,210,179,
584,207502,279,132,82,279,
585,207801,180,172,40,180,
586,208001,319,236,33,319,
587,208399,279,665,68,279,
588,208758,1336,635,225,1336,
589,210134,538,508,216,538,
590,210692,977,649,226,977,
591,211689,2373,496,220,2373,
592,214081,299,687,249,299,
593,214400,718,772,233,718,
594,215178,578,504,208,578,
595,215836,917,502,210,917,
596,216773,319,521,248,319,
597,217112,100,531,291,100,
598,217232,877,487,215,877,
599,218129,917,495,194,917,
600,219066,598,503,222,598,
601,219684,1057,645,218,1057,
602,220760,479,71,229,479,
603,221259,319,304,204,319,
604,221598,339,499,197,339,
605,221957,379,499,180,379,
606,222355,100,501,177,100,
607,222555,299,506,208,299,
608,222874,758,567,216,758,
609,223651,399,518,224,399,
610,224070,159,645,225,159,
611,224250,139,685,242,139,
612,224409,179,764,236,179,
613,224608,518,496,206,518,
614,226104,399,483,239,399,
615,226642,2173,489,214,2173,
616,228835,339,495,204,339,
617,230271,798,492,225,798,
618,231088,279,287,223,279,
619,231387,459,77,230,459,
620,231866,479,128,234,479,
621,232364,778,88,232,778,
622,233401,200,921,492,200,
